slope_emo	min_cog	slope_age	max_emo	homecog	min_emo	sum_age	kidgen	momage	sum_emo	slope_cog	literal_order	varphi	wvarphi	size_id	size_rows	slopes	intercepts	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.0, 0.62)	(0.0, 0.39)	(0.29, 0.97)									('slope_emo', 'min_cog', 'slope_age')	71.76	-inf	0.1	0.1	[ 0.          1.08787331 -0.03383984]	-3.571563445308667	82.50454339283992	218.5122388059701	1.6241529798179462	3	2	50.29466311771796	140.9434579619961	82.50454339283992	134
	(0.0, 0.37)	(0.29, 0.97)	(0.0, 0.61)								('max_emo', 'min_cog', 'slope_age')	71.19	64.071	0.08	0.08	[ 0.          1.09930745 -0.03493596]	-3.612032081346974	65.5614924094071	180.1417391304348	1.7540784349731982	3	2	50.3887188480339	121.75978058031805	65.5614924094071	115
	(0.0, 0.37)		(0.0, 0.61)			(0.44, 0.86)					('max_emo', 'min_cog', 'sum_age')	70.48	48.10170544615385	0.06	0.06	[ 0.          1.07985811 -0.03450251]	-3.5030098247656127	53.14842253370791	141.11917525773197	1.8250776857672577	3	2	44.63325477069185	109.90848641467426	53.14842253370791	97
		(0.0, 0.85)	(0.0, 0.61)	(1.0, 10.0)							('max_emo', 'slope_age', 'homecog')	64.33	61.57933793103448	0.29	0.29	[ 0.          1.90583286 -0.07771027]	-7.020307784559964	272.7781895553443	538.0477739726027	1.0704668158256685	3	2	2.85342889639902	340.0074849999542	272.7781895553443	292
		(0.63, 0.83)	(0.0, 0.61)								('max_emo', 'slope_age', 'slope_age')	66.36	55.01602702702702	0.09	0.09	[ 0.          1.44850384 -0.05334905]	-5.1378055303574985	111.3031897496694	239.93816176470588	1.2218877132441206	3	2	12.516023104832696	181.30540620897446	111.3031897496694	136
		(0.0, 0.85)	(0.0, 0.61)		(0.0, 0.72)						('max_emo', 'slope_age', 'min_emo')	61.5	52.26918243243246	0.27	0.27	[ 0.          1.87996958 -0.07572518]	-6.9472318874320536	273.7823756358755	572.0807508532422	1.070193066005401	3	2	2.836329013839592	337.7210317670133	273.7823756358755	293
		(0.9, 1.0)					1.0				('slope_age', 'kidgen')	47.42	47.1140280952381	0.1	0.1	[ 0.          1.67850515 -0.05445858]	-6.209404697676014	112.25657399798084	441.24279761904756	1.4965715950232175	3	2	52.36182538224437	148.86210726706034	112.25657399798084	168
		(0.3, 0.9)						(21.0, 26.0)	(0.0, 0.69)		('momage', 'sum_emo', 'slope_age')	52.3	45.40229501167883	0.34	0.34	[ 0.          1.44012774 -0.049327  ]	-5.156159022637334	556.8014053088908	1192.8860369609858	0.8746385970951925	3	2	-83.79576865981663	619.9318674659924	556.8014053088908	487
			(0.0, 0.61)	(1.0, 10.0)				(21.0, 24.0)			('max_emo', 'momage', 'homecog')	63.54	42.79980715138983	0.15	0.15	[ 0.          1.74468189 -0.06983638]	-6.28249684681249	147.5206336928908	305.5494857142858	1.186274730654397	3	2	14.398777812916826	212.0944050677831	147.5206336928908	175
								(27.0, 29.0)		(0.3, 1.0)	('momage', 'slope_cog')	45.48	43.02273416326531	0.24	0.24	[ 0.          1.63267833 -0.05287349]	-6.042492302428461	315.7185926467217	1014.6390296495957	1.1750970916531873	3	2	42.11253147687966	356.8974631212291	315.7185926467217	371
