NCRTinterceptNumRatio	NCtimeCmedian	CAPreOrdmax	SAPreOrdmax	NCtimeCmean	CAAnsCsum	SAAnsCsum	NCRTslopeNumRatio	NCIES	NCRTinterceptNumDis	literal_order	varphi	wvarphi	size_id	size_rows	subrange_est	subrange_se	slopes	intercepts	fitbreaks	betas	ssres	sstot	precision	nrparams	chorder	bic	SSresGlobal	SSresLocal	nrrows
(0.3, 0.38)	(0.09, 0.18)	(0.27, 1.0)	(0.56, 1.0)							('NCRTinterceptNumRatio', 'NCtimeCmedian', 'CAPreOrdmax', 'SAPreOrdmax')	2033.89	-inf	0.24	0.24	3.51	0.16	[ 27.26 418.41]	[1080.96 -290.48]	[1.   3.51 9.  ]	[1108.23   27.26  391.15]	1886484261.8673747	4045838425.6102023	1.6210047768821441e-06	3	1	-40794.75258754763	3668633920.831487	1886484261.8673747	3058
(0.3, 0.38)	(0.09, 0.18)									('NCRTinterceptNumRatio', 'NCtimeCmedian')	1598.1	377.8437707006369	0.41	0.41	3.5	0.14	[ 61.61 457.81]	[1072.91 -313.48]	[1.  3.5 9. ]	[1134.51   61.61  396.21]	4661238016.279728	9237916290.768024	1.1218049757891187e-06	3	1	-71665.97474052533	6327486391.549969	4661238016.279728	5229
(0.3, 0.38)		(0.25, 1.0)								('NCRTinterceptNumRatio', 'CAPreOrdmax')	1548.64	110.63276355271567	0.4	0.4	3.69	0.17	[ 79.36 445.25]	[1087.59 -263.41]	[1.   3.69 9.  ]	[1166.95   79.36  365.89]	5265240564.291954	9493769107.531155	9.997643860186812e-07	3	1	-72751.79393467629	7066187481.878038	5265240564.291954	5264
	(0.09, 0.18)			(0.04, 0.12)						('NCtimeCmean', 'NCtimeCmedian')	1555.89	35.97453999141509	0.41	0.41	3.52	0.14	[ 64.71 462.93]	[1068.51 -332.17]	[1.   3.52 9.  ]	[1133.23   64.71  398.22]	4710921082.169988	9428840516.906826	1.1231349257845796e-06	3	1	-72509.17653848509	6321443176.285027	4710921082.169988	5291
	(0.07, 0.19)	(0.26, 1.0)								('NCtimeCmedian', 'CAPreOrdmax')	1564.3	32.65998612432728	0.36	0.36	3.66	0.19	[ 75.16 433.89]	[1065.92 -248.  ]	[1.   3.66 9.  ]	[1141.09   75.16  358.73]	4643460986.015078	8180981830.770729	9.94732165062063e-07	3	1	-63863.55351213364	6515129441.645482	4643460986.015078	4619
	(0.07, 0.14)									('NCtimeCmedian', 'NCtimeCmedian')	1580.84	13.051336627865936	0.17	0.17	3.47	0.21	[ 45.05 400.34]	[ 967.3  -265.08]	[1.   3.47 9.  ]	[1012.35   45.05  355.29]	1388730124.1730697	2804320100.636834	1.5287347505795318e-06	3	1	-28452.22363194236	2924182974.0817094	1388730124.1730697	2123
			(0.5, 1.0)			(0.54, 1.0)		(0.01, 0.03)		('NCIES', 'SAPreOrdmax', 'SAAnsCsum')	1746.92	51.556857457510745	0.3	0.3	3.44	0.15	[ 34.81 438.29]	[1102.5  -286.46]	[1.   3.44 9.  ]	[1137.31   34.81  403.48]	2997180057.8776207	6141209071.737056	1.3145690028346225e-06	3	1	-53380.32350819821	4669500045.929586	2997180057.8776207	3940
				(0.04, 0.12)	(0.34, 0.95)					('NCtimeCmean', 'CAAnsCsum')	1621.18	780.5283841059603	0.39	0.39	3.74	0.18	[ 94.87 447.06]	[1030.43 -285.04]	[1.   3.74 9.  ]	[1125.3    94.87  352.19]	4811475585.262278	8962166332.082563	1.0572640159666743e-06	3	1	-70021.83872004673	6617343662.365478	4811475585.262278	5087
					(0.34, 0.95)				(0.27, 0.35)	('NCRTinterceptNumDis', 'CAAnsCsum')	1522.47	19.329703172673526	0.4	0.4	3.68	0.17	[ 83.8 448.1]	[1065.48 -274.58]	[1.   3.68 9.  ]	[1149.28   83.8   364.3 ]	5056675223.792913	9286263060.714756	1.0198400671917851e-06	3	1	-71170.91879419994	6793269606.212915	5056675223.792913	5157
						(0.59, 1.0)	(0.42, 0.5)			('SAAnsCsum', 'NCRTslopeNumRatio')	1553.77	185.67551499999993	0.22	0.22	3.63	0.18	[ 54.02 436.96]	[1064.5  -327.05]	[1.   3.63 9.  ]	[1118.52   54.02  382.94]	1990201068.468328	4225652048.2623506	1.4747253664469168e-06	3	1	-39432.31220088657	3379163612.8634415	1990201068.468328	2935
